symbol,id,date,jdate,min,max,yesterday,first,close,last,trades_count,volume,value,ret,cumprod,adj_price
اهرم,17914401175772326,20220627,14010406,11750.0,12050.0,11880.0,11940.0,11980.0,12030.0,633.0,7614133.0,91213050700.0,1.0084175084175084,3.92216657972526,11957.544517338347
اهرم,17914401175772326,20220628,14010407,12010.0,12330.0,11980.0,12180.0,12190.0,12080.0,651.0,5731731.0,69868631170.0,1.0175292153589315,3.8894272927492564,12167.150890346782
اهرم,17914401175772326,20220629,14010408,11940.0,12170.0,12190.0,12080.0,12080.0,12140.0,780.0,3462819.0,41814619670.0,0.9909762100082035,3.8224232130546425,12057.357075913793
اهرم,17914401175772326,20220702,14010411,11840.0,12060.0,12080.0,11890.0,11890.0,11870.0,390.0,4464229.0,53080659840.0,0.984271523178808,3.857230046948352,11867.713214620448
اهرم,17914401175772326,20220703,14010412,11650.0,12170.0,11890.0,11750.0,11980.0,12040.0,526.0,5777088.0,69212241680.0,1.007569386038688,3.9188678693974843,11957.544517338349
اهرم,17914401175772326,20220704,14010413,11990.0,12260.0,11980.0,12090.0,12070.0,12080.0,330.0,2371546.0,28627594480.0,1.0075125208681135,3.889427292749256,12047.37582005625
اهرم,17914401175772326,20220705,14010414,11970.0,12160.0,12070.0,12010.0,12070.0,12130.0,464.0,3056107.0,36881727910.0,1.0,3.8604257636401065,12047.37582005625
اهرم,17914401175772326,20220706,14010415,11600.0,11940.0,12070.0,11940.0,11730.0,11630.0,658.0,6146484.0,72121638290.0,0.971830985915493,3.8604257636401065,11708.013120899735
اهرم,17914401175772326,20220709,14010418,11420.0,11740.0,11730.0,11600.0,11600.0,11500.0,334.0,1665434.0,19310869150.0,0.9889173060528559,3.972322162586196,11578.256794751656
اهرم,17914401175772326,20220711,14010420,11050.0,11510.0,11600.0,11510.0,11190.0,11150.0,643.0,6022056.0,67376240070.0,0.9646551724137931,4.016839566132421,11169.025304592331
اهرم,17914401175772326,20220712,14010421,10880.0,11450.0,11190.0,11150.0,11230.0,11280.0,831.0,5889196.0,66110353570.0,1.003574620196604,4.164015993488479,11208.950328022507
اهرم,17914401175772326,20220713,14010422,11310.0,11710.0,11230.0,11460.0,11520.0,11690.0,612.0,4221062.0,48634922350.0,1.0258236865538735,4.1491842357200435,11498.406747891298
اهرم,17914401175772326,20220716,14010425,11140.0,11550.0,11520.0,11550.0,11240.0,11150.0,421.0,1792143.0,20137891760.0,0.9756944444444444,4.044734285341675,11218.93158388005
اهرم,17914401175772326,20220717,14010426,10930.0,11150.0,11240.0,11150.0,10990.0,11000.0,443.0,3418839.0,37584021240.0,0.9777580071174378,4.145492790670471,10969.400187441437
اهرم,17914401175772326,20220719,14010428,11000.0,11220.0,10990.0,11200.0,11180.0,11190.0,472.0,3525058.0,39392660960.0,1.0172884440400365,4.239794264525577,11159.044048734786
اهرم,17914401175772326,20220720,14010429,11180.0,11440.0,11180.0,11230.0,11310.0,11340.0,369.0,2243141.0,25363427330.0,1.0116279069767442,4.167740515844015,11288.800374882865
اهرم,17914401175772326,20220723,14010501,0.0,0.0,11310.0,11690.0,11310.0,11340.0,0.0,0.0,0.0,1.0,4.119835452443509,11288.800374882865
اهرم,17914401175772326,20220724,14010502,10890.0,11320.0,11310.0,11320.0,11090.0,10980.0,777.0,6528419.0,72403853890.0,0.9805481874447391,4.119835452443509,11069.212746016885
اهرم,17914401175772326,20220725,14010503,10360.0,10980.0,11090.0,10980.0,10510.0,10520.0,833.0,7670958.0,80651216750.0,0.9477006311992786,4.201563477649782,10490.299906279302
اهرم,17914401175772326,20220726,14010504,10450.0,10650.0,10510.0,10500.0,10540.0,10500.0,576.0,5132629.0,54105467960.0,1.0028544243577546,4.433429016854052,10520.243673851937
اهرم,17914401175772326,20220727,14010505,10410.0,10670.0,10540.0,10410.0,10580.0,10590.0,386.0,5543276.0,58662576170.0,1.0037950664136623,4.420810148684637,10560.168697282115
اهرم,17914401175772326,20220730,14010508,10360.0,10740.0,10580.0,10640.0,10570.0,10500.0,837.0,17087351.0,180690795460.0,0.999054820415879,4.404096310693391,10550.187441424572
اهرم,17914401175772326,20220731,14010509,10150.0,10480.0,10570.0,10400.0,10290.0,10350.0,587.0,6025027.0,61998570290.0,0.9735099337748344,4.408262910798115,10270.712277413324
اهرم,17914401175772326,20220801,14010510,10220.0,10500.0,10290.0,10490.0,10320.0,10310.0,355.0,3448801.0,35581935860.0,1.0029154518950438,4.528215643064731,10300.656044985959
اهرم,17914401175772326,20220802,14010511,10200.0,10420.0,10320.0,10230.0,10330.0,10420.0,335.0,3363405.0,34734223790.0,1.000968992248062,4.515052225497682,10310.637300843502
اهرم,17914401175772326,20220803,14010512,10350.0,10580.0,10330.0,10420.0,10480.0,10540.0,948.0,20500463.0,214880481710.0,1.0145208131655372,4.510681410177742,10460.35613870667
اهرم,17914401175772326,20220806,14010515,10600.0,10890.0,10480.0,10600.0,10810.0,10890.0,1067.0,17391835.0,187945780370.0,1.0314885496183206,4.4461201304519165,10789.737582005637
اهرم,17914401175772326,20220809,14010518,10650.0,10920.0,10810.0,10810.0,10820.0,10690.0,877.0,13704396.0,148347117020.0,1.0009250693802034,4.3103921338701285,10799.718837863182
