date_str,shadow_S,shadow_gap
20251117,26118.0,518.0
20251116,26087.0,817.0
20251115,25668.0,838.0
20251112,25506.0,1176.0
20251111,25263.0,1113.0
20251110,25491.0,1171.0
20251109,25250.0,0.0
20251108,27123.0,873.0
20251105,27284.0,844.0
20251104,28016.0,586.0
20251103,29004.0,904.0
20260114,39083.0,-1327.0
20260113,41470.0,-610.0
20260112,42387.0,167.0
20260111,40385.0,-255.0
20260110,39173.0,-567.0
20260106,42198.0,3148.0
20260105,39411.0,1861.0
20260104,36658.0,548.0
20251231,36945.0,465.0
20251230,34834.0,-1616.0
20251229,37628.0,-312.0
20251228,38722.0,792.0
20251227,38319.0,1719.0
20251224,36565.0,1325.0
20251223,34447.0,517.0
20251222,33850.0,520.0
20251221,34178.0,688.0
20251220,33951.0,1411.0
20251217,32430.0,1060.0
20251216,32140.0,470.0
20251215,32252.0,932.0
20251214,31478.0,1118.0
20251213,30811.0,581.0
20251210,30294.0,904.0
20251209,29613.0,623.0
20251208,29578.0,698.0
20251207,29645.0,895.0
20251206,29698.0,648.0
20251203,28902.0,762.0
20251202,28744.0,734.0
20251201,28530.0,870.0
20251130,27921.0,1231.0
20251129,27770.0,1160.0
20251126,27664.0,1004.0
20251125,28157.0,1407.0
20251123,27269.0,1499.0
20251122,26035.0,965.0
20251119,25369.0,539.0
20251118,25090.0,280.0
20251112,25317.0,987.0
20251111,24636.0,486.0
20251110,24937.0,617.0
20251109,25110.0,-140.0
20251108,26536.0,286.0
20251105,27709.0,1269.0
20260114,39119.0,-1291.0
20260113,41667.0,-413.0
20260112,42443.0,223.0
20260111,40590.0,-50.0
20260110,39713.0,-27.0
20260106,42174.0,3124.0
20260105,39666.0,2116.0
20260104,36872.0,762.0
20251231,38045.0,1565.0
20251230,36754.0,304.0
20251229,39011.0,1071.0
20251228,39704.0,1774.0
20251227,38408.0,1808.0
20251224,36840.0,1600.0
20251223,34739.0,809.0
20251222,33228.0,-102.0
20260114,39679.0,-731.0
20260113,41811.0,-269.0
20260112,42670.0,450.0
20260111,40813.0,173.0
20260110,40360.0,620.0
20260106,42548.0,3498.0
20260105,39681.0,2131.0
20260104,36811.0,701.0
20251231,38267.0,1787.0
20251230,35935.0,-515.0
20251229,38035.0,95.0
20251228,39151.0,1221.0
20251227,38325.0,1725.0
20251224,36537.0,1297.0
20251223,34267.0,337.0
20251222,33164.0,-166.0
20260114,39812.0,-598.0
20260113,41870.0,-210.0
20260112,42521.0,301.0
20260111,40478.0,-162.0
20260114,40278.0,-132.0
20260113,41356.0,-724.0
20260112,42391.0,171.0
20260218,29022.0,-828.0
20260217,30058.0,-462.0
20260216,30023.0,-337.0
20260214,31222.0,-1088.0
20260209,30558.0,-2602.0
20260208,35498.0,1078.0
20260207,34589.0,909.0
20260201,31165.0,-205.0
20260131,30672.0,-658.0
20260128,33917.0,1947.0
20260127,33312.0,72.0
20260126,29537.0,-5083.0
20260125,29852.0,-6208.0
20260119,40747.0,-573.0
20260118,41944.0,334.0
20260114,38744.0,-1666.0
20260113,42619.0,539.0
20260110,40115.0,375.0
20260106,42975.0,3925.0
20260105,40317.0,2767.0
20260104,38015.0,1905.0
20251230,34804.0,-1646.0
20260218,29102.0,-748.0
20260217,30229.0,-291.0
20260216,30153.0,-207.0
20260214,26999.0,-5311.0
