moneyness,iv,option_type,maturity_bucket
1.7793333333333334,1.48019313384368,call,medium
1.774,1.7326435795130053,call,medium
1.7773333333333334,1.1958831163452295,call,medium
1.7833333333333334,1.5376883198113542,call,medium
1.718,1.4583199214965,call,medium
1.6713333333333333,1.3840453164489213,call,medium
1.6553333333333333,1.294468144521265,call,medium
1.654,1.2366381571164704,call,medium
1.7066666666666668,1.2489356000630853,call,medium
1.6846666666666668,1.4007282522584614,call,medium
1.9575,1.743657999280375,call,medium
1.8975,1.680197836144633,call,medium
1.889375,1.7286325982267812,call,medium
1.836875,1.3128077788357355,call,medium
1.811875,1.5816383047488838,call,medium
1.805,1.4714133898745894,call,medium
1.796875,1.5401269438133558,call,medium
1.815625,1.4351045169489032,call,medium
1.75875,1.2182078577748892,call,medium
1.750625,1.4078039138124183,call,medium
1.72875,1.2586144523284581,call,medium
1.663125,1.2991718498160727,call,medium
1.66625,1.1849023351735906,call,medium
1.671875,1.4463657289304497,call,medium
1.610625,1.362468593629286,call,medium
1.566875,1.266385268942443,call,medium
1.551875,1.1958326664476224,call,medium
1.550625,1.1713205716317654,call,medium
1.6,1.1231139882794452,call,medium
1.579375,1.0567559347310864,call,medium
1.74,1.5518500260481531,call,medium
1.6866666666666668,1.461551081430359,call,medium
1.6794444444444445,0.8303806347017422,call,medium
1.6327777777777779,1.381043464013357,call,medium
1.6105555555555555,1.1958033482117334,call,medium
1.6044444444444443,1.2571656098113781,call,medium
1.5972222222222223,1.361591631664684,call,medium
1.613888888888889,1.3029801644460188,call,medium
1.5633333333333332,1.2235854931451955,call,medium
1.556111111111111,1.2841790407564162,call,medium
1.5366666666666666,1.2269182915406818,call,medium
1.4827777777777778,1.1587807745700103,call,medium
1.4783333333333333,1.1990483992653826,call,medium
1.481111111111111,1.0901744963173607,call,medium
1.4861111111111112,1.3027018021891044,call,medium
1.4316666666666666,1.1869888028014253,call,medium
1.3927777777777777,1.0884258628227192,call,medium
1.3794444444444445,0.946387107567096,call,medium
1.3783333333333334,1.1212121937976198,call,medium
1.4222222222222223,1.0426534619478531,call,medium
1.403888888888889,0.9888620893575762,call,medium
1.566,1.2855290653592013,call,medium
1.518,1.3334170056945676,call,medium
1.5115,1.2571334950699153,call,medium
1.4695,1.1179425762953552,call,medium
1.4495,1.1275993877920705,call,medium
1.444,1.1064061698068575,call,medium
1.4375,1.0612995786062864,call,medium
1.4525,1.0757751492621905,call,medium
1.407,1.0375828725046705,call,medium
1.4005,1.091262539095219,call,medium
1.383,1.0978346483231791,call,medium
1.3345,1.0080367355853936,call,medium
1.3305,0.9875525475705699,call,medium
1.333,0.9593781510375989,call,medium
1.3375,1.1387026393126958,call,medium
1.2885,1.0101662118958994,call,medium
1.2535,0.910610836899132,call,medium
1.2415,0.8612928745086342,call,medium
1.2405,0.8670590849077273,call,medium
1.28,0.8237245867801569,call,medium
1.2635,0.7807909790626861,call,medium
1.4236363636363636,1.1620510079052873,call,medium
1.38,1.1900921589976559,call,medium
1.374090909090909,0.9998059413124379,call,medium
1.335909090909091,0.889856232911383,call,medium
1.3177272727272726,0.9059868994444027,call,medium
1.3127272727272727,0.920814917996485,call,medium
1.3068181818181819,0.916834384126132,call,medium
1.3204545454545455,0.921890846885393,call,medium
1.279090909090909,0.8828981030138001,call,medium
1.2731818181818182,0.9003947161893128,call,medium
1.2572727272727273,0.9278994164725713,call,medium
1.2131818181818181,0.9064446159678573,call,medium
1.2095454545454545,0.8941155034534126,call,medium
1.211818181818182,0.8909900492967073,call,medium
1.2159090909090908,0.9533184249456389,call,medium
1.1713636363636364,0.8466118711723817,call,medium
1.1395454545454546,0.8162553616155882,call,medium
1.1286363636363637,0.7818058720700977,call,medium
