shadow_S,shadow_gap
39778.0,708.0
39345.0,-1975.0
41923.0,313.0
39337.0,-1073.0
41988.0,-92.0
43207.0,987.0
42541.0,1901.0
39880.0,140.0
43591.0,4541.0
39716.0,2166.0
37592.0,1482.0
38112.0,1632.0
35946.0,-504.0
38804.0,864.0
40097.0,2167.0
39283.0,2683.0
37547.0,2307.0
35403.0,1473.0
34377.0,1047.0
34820.0,1330.0
34442.0,1902.0
32572.0,1202.0
33161.0,1491.0
32419.0,1099.0
31539.0,1179.0
31324.0,1094.0
30408.0,1018.0
30000.0,1120.0
29722.0,1582.0
29758.0,1748.0
28965.0,1305.0
26314.0,-376.0
25867.0,97.0
27620.0,2790.0
26036.0,1226.0
27499.0,5869.0
29352.0,-498.0
30028.0,-492.0
30367.0,7.0
29980.0,-1110.0
31800.0,-510.0
31749.0,-341.0
31516.0,-1644.0
34036.0,-384.0
34642.0,962.0
32243.0,-147.0
32864.0,304.0
31660.0,290.0
30090.0,-1240.0
32332.0,362.0
30815.0,-2425.0
29672.0,-4948.0
33077.0,-2983.0
36025.0,-1535.0
39959.0,889.0
40046.0,-14.0
42165.0,845.0
41932.0,322.0
39319.0,-1091.0
42859.0,779.0
43031.0,811.0
41314.0,674.0
40350.0,610.0
43675.0,4625.0
40334.0,2784.0
37046.0,936.0
38251.0,1771.0
35913.0,-537.0
38720.0,780.0
40107.0,2177.0
38898.0,2298.0
37543.0,2303.0
