moneyness_bucket,parity_basis
deep_itm,140.0
deep_itm,1209.0
deep_itm,4541.0
deep_itm,2166.0
deep_itm,1482.0
deep_itm,1632.0
deep_itm,-504.0
deep_itm,864.0
deep_itm,2167.0
deep_itm,2683.0
deep_itm,2307.0
deep_itm,1473.0
deep_itm,1047.0
deep_itm,1330.0
deep_itm,1902.0
deep_itm,1202.0
deep_itm,1491.0
deep_itm,1099.0
deep_itm,1179.0
deep_itm,1094.0
deep_itm,1018.0
deep_itm,1120.0
deep_itm,1582.0
deep_itm,1748.0
deep_itm,1305.0
deep_itm,-376.0
deep_itm,97.0
itm,2790.0
itm,1226.0
atm,5869.0
deep_itm,-498.0
deep_itm,-492.0
deep_itm,7.0
deep_itm,-1110.0
deep_itm,-510.0
deep_itm,-341.0
deep_itm,-1644.0
deep_itm,-384.0
deep_itm,962.0
deep_itm,-147.0
deep_itm,304.0
deep_itm,290.0
deep_itm,-1240.0
deep_itm,362.0
deep_itm,-2425.0
deep_itm,-4948.0
deep_itm,-2983.0
deep_itm,-1535.0
deep_itm,889.0
deep_itm,-14.0
deep_itm,845.0
deep_itm,322.0
deep_itm,-1091.0
deep_itm,779.0
deep_itm,811.0
deep_itm,674.0
deep_itm,610.0
deep_itm,1715.0
deep_itm,4625.0
deep_itm,2784.0
deep_itm,936.0
deep_itm,1771.0
deep_itm,-537.0
deep_itm,780.0
deep_itm,2177.0
deep_itm,2298.0
deep_itm,2303.0
deep_itm,1543.0
deep_itm,1062.0
deep_itm,1663.0
deep_itm,2053.0
deep_itm,1385.0
deep_itm,1080.0
deep_itm,1185.0
deep_itm,1008.0
deep_itm,1075.0
deep_itm,1133.0
deep_itm,1513.0
deep_itm,375.0
deep_itm,599.0
itm,-427.0
deep_itm,-417.0
deep_itm,20.0
deep_itm,-1157.0
deep_itm,-688.0
deep_itm,-236.0
deep_itm,-1581.0
deep_itm,-584.0
deep_itm,1557.0
deep_itm,50.0
deep_itm,287.0
deep_itm,702.0
deep_itm,-1475.0
deep_itm,408.0
deep_itm,-2337.0
deep_itm,-4852.0
deep_itm,-2953.0
deep_itm,-4200.0
deep_itm,848.0
deep_itm,1069.0
deep_itm,487.0
deep_itm,-674.0
deep_itm,338.0
deep_itm,940.0
deep_itm,1016.0
deep_itm,977.0
deep_itm,1647.0
deep_itm,4502.0
deep_itm,3007.0
deep_itm,1175.0
deep_itm,1753.0
deep_itm,-783.0
deep_itm,963.0
deep_itm,2255.0
deep_itm,2846.0
deep_itm,2430.0
deep_itm,1340.0
deep_itm,1400.0
deep_itm,1643.0
deep_itm,2104.0
deep_itm,1294.0
deep_itm,706.0
deep_itm,1092.0
deep_itm,1154.0
deep_itm,1082.0
itm,1271.0
itm,834.0
itm,787.0
itm,604.0
itm,745.0
itm,1273.0
itm,1265.0
itm,1122.0
atm,-81.0
itm,-363.0
itm,-431.0
itm,-70.0
itm,-967.0
deep_itm,-755.0
itm,-267.0
deep_itm,-1620.0
deep_itm,-7.0
deep_itm,887.0
deep_itm,-131.0
deep_itm,-6.0
itm,568.0
itm,-1148.0
itm,436.0
deep_itm,-2277.0
deep_itm,-4879.0
deep_itm,-3134.0
deep_itm,-2266.0
deep_itm,559.0
deep_itm,-38.0
deep_itm,-17.0
deep_itm,520.0
deep_itm,-853.0
deep_itm,335.0
deep_itm,1138.0
deep_itm,1213.0
deep_itm,950.0
deep_itm,1967.0
deep_itm,4688.0
deep_itm,3168.0
deep_itm,1524.0
deep_itm,1588.0
deep_itm,-508.0
deep_itm,1157.0
deep_itm,2278.0
deep_itm,3316.0
deep_itm,2306.0
deep_itm,1329.0
deep_itm,1432.0
deep_itm,1750.0
deep_itm,2175.0
itm,1571.0
itm,1285.0
itm,1148.0
itm,1222.0
itm,1148.0
atm,1312.0
atm,-301.0
atm,-428.0
atm,-104.0
atm,-1136.0
itm,-305.0
itm,-175.0
itm,-1600.0
itm,-182.0
itm,1196.0
itm,-84.0
itm,284.0
atm,761.0
atm,-1073.0
itm,376.0
itm,-2237.0
deep_itm,-4683.0
deep_itm,-2651.0
deep_itm,-1749.0
deep_itm,772.0
deep_itm,800.0
deep_itm,612.0
deep_itm,571.0
deep_itm,-880.0
deep_itm,344.0
deep_itm,1184.0
deep_itm,1413.0
deep_itm,1137.0
deep_itm,2364.0
deep_itm,4906.0
deep_itm,3217.0
deep_itm,1603.0
deep_itm,1878.0
deep_itm,-130.0
deep_itm,1519.0
deep_itm,2573.0
deep_itm,3399.0
deep_itm,2574.0
itm,1561.0
itm,1617.0
