days_to_expiry,option_type,mean_iv,n
131,put,0.31577464730133814,1
132,call,0.9312503715887597,4
133,call,1.0627752627400053,61
133,put,0.5113637723056287,8
134,call,1.1881863016451562,81
134,put,0.39509717938543687,8
135,call,1.1415754979110018,72
135,put,0.3745207668796771,13
136,call,1.0062324917239829,75
136,put,0.5526734913409934,4
137,call,0.975342705391013,53
137,put,0.3332087183508996,8
138,call,0.8861465074545544,4
140,call,1.066881711755345,66
140,put,0.39960605205857597,11
141,call,0.8998387991450998,57
141,put,0.42642689010240686,4
142,call,0.9581373920336397,63
142,put,0.5543078159062715,2
143,call,1.0877971016559245,65
143,put,0.45680168320792386,7
144,call,1.0149404839856955,60
144,put,0.49664012103253175,6
145,call,0.9692410596064425,4
146,call,0.8772719356669023,4
147,call,1.0139434357042882,62
147,put,0.43201922371050705,7
148,call,0.9819829931089096,55
148,put,0.4282154956219938,7
149,call,0.9140360381006626,45
149,put,0.36972930625588374,4
150,call,0.9466086954885679,42
150,put,0.34917806320004463,4
151,call,0.9365008556810384,30
151,put,0.43227973923929675,2
154,call,0.9308865156259153,13
154,put,0.35653016774125235,1
155,call,0.807445239708982,21
155,put,0.3634853229889806,2
156,call,0.7919560191523405,18
156,put,0.3848883941504801,3
157,call,0.8524834872706744,9
157,put,0.28197270900063953,1
158,call,0.8532852917704317,15
158,put,0.2041378143589831,1
160,call,1.1371302128077767,3
161,call,0.8044343870753461,12
162,call,0.7025261567926555,10
163,call,0.7819531423857777,10
163,put,0.3792199618146628,1
164,call,0.6446278935415484,9
164,put,0.3381569247885198,1
165,call,0.7946485596934446,9
168,call,0.80667560138011,6
168,put,0.24505567636330905,1
169,call,0.820564127326011,8
170,call,0.833262166818906,10
171,call,0.8207623631062051,10
172,call,0.8458704877775413,6
175,call,0.7135973129722134,10
176,call,0.9155325044273361,7
176,put,0.3046378656828054,2
178,call,0.8527933090733868,7
178,put,0.261444753168436,1
179,call,0.9055987993533471,7
179,put,0.31984840065377845,1
182,call,0.7312272056557231,4
182,put,0.26001951343203905,1
183,call,0.7309903429579049,3
184,call,0.7451083897745194,5
184,put,0.3059014204009171,2
185,call,0.8287424869501756,5
185,put,0.23899713174348544,1
186,call,0.7800744335402597,4
186,put,0.2569219699899919,1
189,call,0.8247073154823722,3
189,put,0.12991155489602751,1
190,call,0.6842801627008136,5
190,put,0.1733854199340543,2
191,call,0.7735691463204665,3
192,call,0.6394653379296235,6
193,call,0.8042069034156021,4
193,put,0.33372718579997646,1
196,call,0.8860197463383085,4
196,put,0.15758988269352872,1
197,call,0.7243238855234235,3
198,call,0.8890350646172666,3
199,call,0.709263715241113,2
200,call,0.7941334039645351,4
203,call,0.6895350909927579,2
204,call,1.0793265147183466,3
205,call,1.084516069045443,2
206,call,0.9640143283884886,2
207,call,0.7209875949909658,2
